Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
257,10.28,14,car,1768.8658,75.15223,11.612891,-43.063488,1.5598911,1.1843262,0,0.0,-1,16,-1,-1,-1,-1,2,0
257,10.28,16,car,1805.5149,79.05745,12.073176,-42.201145,1.7557497,1.0932312,0,0.0,14,13,-1,-1,-1,-1,2,0
258,10.32,2,car,1562.53,78.185486,8.235993,-39.204956,1.688845,1.1191529,0,0.0,3,11,-1,-1,-1,-1,2,0
258,10.32,3,car,1587.5515,78.14356,8.616675,-39.542618,1.7016909,1.155597,1,-6.944444444444445,13,2,-1,-1,-1,-1,2,0
258,10.32,10,car,1523.8507,78.76806,7.6455536,-38.5262,1.7332417,1.1311646,0,0.0,11,-1,-1,-1,-1,-1,2,0
258,10.32,11,car,1500.8158,76.300354,7.3523574,-39.01967,1.5892231,1.12948,0,0.0,2,10,-1,-1,-1,-1,2,0
258,10.32,12,car,1451.86,78.77041,6.5963597,-37.632828,1.7468814,1.2088013,0,0.0,-1,-1,-1,-1,-1,-1,1,0
258,10.32,13,car,1744.7913,78.71259,11.081746,-41.46725,1.7245315,1.1573181,0,0.0,16,3,-1,-1,-1,-1,2,0
258,10.32,14,car,1768.8491,75.52146,11.598322,-42.93077,1.5769519,1.192157,0,0.0,-1,16,-1,-1,-1,-1,2,0
258,10.32,16,car,1805.5479,79.23673,12.066485,-42.13845,1.7697903,1.1005433,0,0.0,14,13,-1,-1,-1,-1,2,0
259,10.36,2,car,1562.6571,78.22564,8.237003,-39.193634,1.6790961,1.1360596,1,6.944444444444445,3,11,-1,-1,-1,-1,2,0
259,10.36,3,car,1587.6089,77.99246,8.621226,-39.59265,1.6993736,1.1535218,2,6.944444444444445,13,2,-1,-1,-1,-1,2,0
259,10.36,10,car,1523.2671,78.83312,7.635622,-38.49827,1.7364191,1.1013978,0,0.0,11,-1,-1,-1,-1,-1,2,0
259,10.36,11,car,1500.8337,76.39597,7.3508215,-38.989296,1.5888029,1.1342896,0,0.0,2,10,-1,-1,-1,-1,2,0
259,10.36,13,car,1744.8055,78.448425,11.091416,-41.558712,1.7091233,1.1663941,0,0.0,16,3,-1,-1,-1,-1,2,0
259,10.36,14,car,1768.9026,75.484535,11.600646,-42.944775,1.5796967,1.2028503,0,0.0,-1,16,-1,-1,-1,-1,2,0
259,10.36,16,car,1805.5209,79.29073,12.063855,-42.119064,1.7711067,1.1218017,0,0.0,14,13,-1,-1,-1,-1,2,0
260,10.4,2,car,1562.7393,78.00294,8.243282,-39.266613,1.6603711,1.1257569,0,-6.944444444444445,3,11,-1,-1,-1,-1,2,0
260,10.4,3,car,1587.4712,77.88644,8.621705,-39.625473,1.6915915,1.1646241,2,0.0,13,2,-1,-1,-1,-1,2,0
260,10.4,10,car,1523.9155,78.42693,7.6533284,-38.635136,1.7148097,1.1394958,1,6.944444444444445,11,-1,-1,-1,-1,-1,2,0
260,10.4,11,car,1500.9447,76.45287,7.3513927,-38.972515,1.5852696,1.1458863,0,0.0,2,10,-1,-1,-1,-1,2,0
260,10.4,13,car,1745.0199,78.30752,11.099965,-41.610466,1.7000412,1.1335328,0,0.0,16,3,-1,-1,-1,-1,2,0
260,10.4,14,car,1768.9568,75.35872,11.6064205,-42.990673,1.5722125,1.2032531,0,0.0,-1,18,-1,-1,-1,-1,2,0
260,10.4,16,car,1805.4255,79.31915,12.061112,-42.10771,1.7694296,1.1270202,0,0.0,18,13,-1,-1,-1,-1,2,0
260,10.4,18,car,1828.4197,78.88387,12.466453,-42.590824,1.726743,1.0797424,0,0.0,14,16,-1,-1,-1,-1,2,0
261,10.44,2,car,1562.6821,78.052765,8.241291,-39.249775,1.6728405,1.1243836,0,0.0,3,11,-1,-1,-1,-1,2,0
261,10.44,3,car,1587.5271,77.898766,8.622259,-39.622173,1.7063591,1.1668091,0,-13.88888888888889,19,2,-1,-1,-1,-1,2,0
261,10.44,10,car,1524.0038,78.60963,7.6509833,-38.57831,1.7258891,1.1321777,1,0.0,11,-1,-1,-1,-1,-1,2,0
261,10.44,11,car,1500.9131,76.46363,7.3507223,-38.96867,1.5974295,1.1208314,0,0.0,2,10,-1,-1,-1,-1,2,0
261,10.44,12,car,1451.5916,79.319984,6.5840583,-37.46064,1.7885792,1.2664613,0,0.0,-1,-1,-1,-1,-1,-1,1,0
261,10.44,13,car,1744.9211,78.48585,11.091968,-41.547382,1.7060047,1.1577576,0,0.0,16,19,-1,-1,-1,-1,2,0
261,10.44,14,car,1768.9167,75.06406,11.617166,-43.09593,1.5570459,1.1966736,0,0.0,-1,18,-1,-1,-1,-1,2,0
261,10.44,16,car,1805.427,79.31692,12.061227,-42.10852,1.7705036,1.1268677,0,0.0,18,13,-1,-1,-1,-1,2,0
261,10.44,18,car,1828.3884,78.7646,12.470981,-42.632904,1.7241148,1.0741638,0,0.0,14,16,-1,-1,-1,-1,2,0
261,10.44,19,car,1626.7166,79.243805,9.189909,-39.69472,1.7589066,1.1576722,0,0.0,13,3,-1,-1,-1,-1,2,0
262,10.48,2,car,1562.5195,78.179535,8.23597,-39.20674,1.6818018,1.1090393,0,0.0,3,11,-1,-1,-1,-1,2,0
262,10.48,3,car,1587.5249,78.16146,8.615834,-39.536434,1.7158806,1.1614563,0,0.0,19,2,-1,-1,-1,-1,2,0
262,10.48,10,car,1524.0059,78.67948,7.6496186,-38.556202,1.7485151,1.1259583,1,0.0,11,-1,-1,-1,-1,-1,2,0
262,10.48,11,car,1501.056,76.459076,7.3529243,-38.97195,1.6043062,1.1074463,0,0.0,2,10,-1,-1,-1,-1,2,0
262,10.48,12,car,1451.7163,79.102844,6.58918,-37.52881,1.7745281,1.245929,0,0.0,-1,-1,-1,-1,-1,-1,1,0
262,10.48,13,car,1744.9844,78.438576,11.094692,-41.56461,1.7078921,1.1556336,0,0.0,16,19,-1,-1,-1,-1,2,0
262,10.48,14,car,1768.9131,75.10813,11.615395,-43.08003,1.558863,1.1998596,0,0.0,-1,18,-1,-1,-1,-1,2,0
262,10.48,16,car,1805.3267,79.44909,12.054221,-42.06063,1.7808888,1.1231812,0,0.0,18,13,-1,-1,-1,-1,2,0
